reference,planning-application,document-url,documentation-url,name,replaces,public-register-status
doc-001,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,SD4_PD&A5_4.3 MASTERPLAN_SCALE,,
doc-002,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,DAYLIGHT AND SUNLIGHT REPORT,,
doc-003,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,EXISTING TREES PROTECTION PLAN 185_A_P_100_003,,
doc-004,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,NOISE ASSESSMENT,,
doc-005,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,TRANSPORT ASSESSMENT,,
Design Code,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,SD2_PT2_0.0_1.0 INTRODUCTION (THE DESIGN CODE),,
doc-007,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,DECISION NOTICE,,
doc-008,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,SECTION 106 AGREEMENT,,
doc-009,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,APPLICATION FORM,,
doc-010,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,EXISTING BUILDINGS AND SITE LEVELS 185_A_P_100_002,,
doc-011,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,ILLUSTRATIVE MASTERPLAN LAYOUT - GROUND FLOOR LEVEL 185_A_P_100_SK001,,
doc-012,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,MASTERPLAN PRINCIPLES,,
doc-013,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER ELEVATION - DEVELOPMENT MIN./MAX HEIGHTS AA AND BB 185_A_P_300_001,,
doc-014,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER ELEVATION - DEVELOPMENT MIN./MAX HEIGHTS CC & DD 185_A_P_300_002,,
doc-015,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER ELEVATION - DEVELOPMENT MIN./MAX HEIGHTS EE & FF & GG & HH & II 185_A_P_300_003,,
doc-016,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER ELEVATION - DEVELOPMENT MIN./MAX HEIGHTS JJ & KK & LL & MM & NN 185_A,,
doc-017,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER PLAN AND CIRCULATION 185_A_P_100_009,,
doc-018,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER PLAN COURTYARD AMENITY SPACE 185_A_P_100_008,,
doc-019,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER PLAN DEVELOPMENT EDGES PREDOMINANT LAND USE @ GROUND FLOOR 185_A_P_100,,
doc-020,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER PLAN DEVELOPMENT EDGES PREDOMINANT LAND USE @ TYPICAL UPPER 185_A_P_10,,
doc-021,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER PLAN DEVELOPMENT ZONE CAR PARK LEVEL 185_A_P_100_005,,
doc-022,2011/0734,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,PARAMETER PLAN & DEVELOPMENT ZONES & BUILDING DIMENSIONS 185_A_P_100_004,,
